#Table1
objid,ra,dec,magnitude,redshift
1237665427553190162,195.495537449512,28.5721060195944,22.65102,0.7145576
1237665440441041676,192.242737986616,28.7349499269426,21.88647,0.4326954
1237667442437063100,192.245360790826,26.8869251009627,22.15441,0.4956863
1237667912743583948,192.255083023283,25.7409251607073,22.10057,0.5728147
1237667442974916803,194.899483409013,27.0890711764792,17.72487,0.1391583
1237667323260829937,194.899614617548,27.2618614852929,18.31857,0.214624
1237667324334571792,194.906189530477,28.1661318210296,17.00697,0.01908395
1237667442974982522,194.942356635238,26.9644157963518,22.15693,0.5192538
1237667324334178784,193.924415529417,28.2529665018979,22.47928,0.5269357
1237667448344019441,193.933793603975,25.3797317110276,21.22277,0.4742005
1237667442974589304,193.941310049262,27.052345517335,21.766,0.421679
1237667323260502170,193.942107288525,27.3638284154289,18.0075,0.04035063
1237667252945486837,193.97163705148,28.6612673316699,22.46943,0.6827255
1237665442051915903,193.000575707746,29.8659467732782,18.21929,0.1795663
1237667442973868717,192.192135552921,27.3144591901803,22.37289,0.4561252
1237667323259781890,192.196888978845,27.3714429449972,22.18816,0.5371733
1237667447806428038,192.201638628411,25.1243380919952,22.27877,0.6268382
1237665440441041318,192.208455647892,28.7044821296956,21.70731,0.5440256
1237665442052309467,194.006409913632,29.8213164156894,22.8067,0.498208
1237667444048330974,194.006462553163,28.0383603406484,15.42655,0.01979616
1237667322186825919,194.014681476151,26.4337321988858,18.35256,0.2402203
1237665440441761892,194.02289638875,28.5058695663059,17.34136,0.1433972
1237667323260502227,194.042552873156,27.3636551497695,19.3162,0.2291359
1237667912207958311,195.409927522993,25.180046446285,20.77735,0.4216585
1237667447807737967,195.420685928441,25.0486280457859,19.10441,0.2242985
1237665428626866196,195.423028055321,29.3813447953908,16.59146,0.05737667
1237667323261091993,195.424241185455,27.1208241086323,18.79,0.2022658
1237667444048855377,195.428649277209,27.7475629316865,17.0628,0.0354218
1237667322724221060,195.441504032338,26.7359311661115,19.05848,0.2113374
1237665441516225212,196.115422017034,29.2666522953108,22.07636,0.6043998
1237667912207499454,194.262423349421,25.2641337871472,19.53354,0.236483
1237667441899602506,190.814712393465,26.3615720080517,22.08069,0.4965188
1237667321648709792,190.829658911482,26.3144190694237,18.61913,0.229996
1237667322722386892,190.856115689264,27.0422406953926,21.51423,0.4757351
1237667441899667843,190.883669327621,26.5030850676411,22.24716,0.5265399
1237665440441041104,192.278959018266,28.7069741652577,21.5107,0.0001919932
1237667322186105579,192.31563376367,26.5195970264904,22.46438,0.5300042
1237667446733865124,194.966096039033,24.1711136100908,17.78658,0.1247491
1237667323798684170,197.339530525569,27.3969479263319,22.03523,0.6589015
