#Table1
ra,dec,l,b,u,g,r,i,z,redshift
14.2508816235277,-9.87458872738975,127.54505017083,-72.6964348587336,19.53713,17.88086,17.19265,16.82559,16.58153,0.01886946
164.857567855234,61.5515275705751,143.669063778383,50.8279684276723,16.75666,15.79958,15.43989,15.27761,15.1139,0.007219854
170.01288672017,2.68961570307817,257.194918201101,57.2098472366102,18.63341,17.73833,17.49453,17.31762,17.28041,0.004153254
171.908691764724,63.3130740582143,137.822671088495,51.3240446644678,16.90943,15.61971,15.09327,14.84703,14.68243,0.01266126
171.929073038511,64.1670361823977,137.12563906641,50.5915297141334,17.6675,16.94473,16.69819,16.65189,16.60206,0.007834268
184.416976950883,65.9787742630687,128.35714457118,50.7924156923213,17.18907,16.12267,15.60564,15.37218,15.20332,0.007614592
142.020407247834,2.58065002211431,230.657976997071,35.5905654266298,17.126,15.7274,15.20052,14.95256,14.7387,0.01183405
133.967879545853,2.52428762867341,225.848424529719,28.6499504143022,17.30098,15.47879,14.98604,14.68974,14.59888,0.01272046
184.436498301618,6.08268550431972,280.579461869327,67.4804522037756,18.75556,17.16008,16.51627,16.19917,16.03104,0.008250836
184.441690904894,6.13937451485576,280.541668274414,67.5355090299681,18.89362,17.46752,16.85952,16.55796,16.35537,0.009845225
184.390121863433,63.824607016344,129.11430948699,52.8952440087464,18.86738,17.89117,17.51339,17.41036,17.46608,0.01414324
181.985983814683,65.1139468912759,130.240988457903,51.3927830307679,15.90425,14.13619,13.38118,12.99715,12.73904,0.004723461
115.479905263468,31.4114858703793,188.473232017493,23.8039016667273,17.77124,16.60803,16.10127,15.8269,15.63415,0.01558757
149.917374285458,0.0442234995118453,238.989071502557,40.6820327372966,18.90115,17.52484,17.18959,16.99604,16.91686,0.01708713
181.973099232659,64.3899362292659,130.566749313857,52.0881486987981,18.79327,17.7189,17.35743,17.18578,17.09457,0.00462645
189.389823108664,4.367679269822,294.047699106777,66.9996467662617,15.73576,14.15835,13.496,13.12845,12.92526,0.01785236
246.883910886585,48.715301069628,75.5922125446895,43.4404481725057,18.37147,16.5959,16.01133,15.66382,15.45793,0.0142424
184.0015256016,4.65097590453194,280.774987219917,65.9866778132344,16.36017,15.11714,14.85841,14.76891,14.63097,0.007328012
184.421881113728,5.62076695910671,280.947464715538,67.0407399548536,17.90863,16.42168,15.75151,15.43596,15.20145,0.008750976
207.909395194231,5.55967239892052,339.21416429839,64.1048853294489,17.38019,16.2791,15.74346,15.48356,15.2964,0.01878274
207.92878571591,5.44651315159963,339.114940558907,63.9986189428642,17.37586,15.91368,15.3552,15.0655,14.87682,0.004153254
242.628537831792,48.3398729863726,75.6847430904423,46.2823632325222,17.8814,16.72029,16.40648,16.31346,16.12472,0.01993949
208.816862309434,59.5066137993274,108.559383237,55.8049774301106,14.4967,12.79948,11.98636,11.57955,11.27567,0.006906108
173.117082212981,62.5073005468549,137.704264338095,52.2970059606172,15.62674,13.87519,13.10079,12.689,12.3964,0.01208446
228.029585956686,55.7850609669127,91.3268864080242,51.8273616593251,16.51681,14.79274,14.23727,13.98611,13.98008,0.002775274
227.282869454149,0.724840560332984,0.0916864400119692,47.7182934639039,18.58314,17.42561,16.8992,16.67168,16.45028,0.005554996
